rowId,source,campaign,startDate,endDate,nonSuspect,highRisk,suspect,total,clickClean,clickTotal,discrepancy,salesClean,salesTotal,prebidClean,prebidTotal,clickSuspect,salesSuspect,prebidSuspect,clickHighRisk,salesHighRisk,prebidHighRisk,nonSuspectRatio,suspectRatio,highRiskRatio,totalRisk,totalRiskRatio,clickCleanRatio,clickTotalRisk,clickTotalRiskRatio,clickRate,trueClickRate,discrepancyRatio,salesCleanRatio,salesTotalRisk,salesTotalRiskRatio,salesRate,prebidCleanRatio,prebidTotalRisk,prebidTotalRiskRatio,clickSuspectRatio,salesSuspectRatio,prebidSuspectRatio,clickHighRiskRatio,salesHighRiskRatio,prebidHighRiskRatio,rcDeviceReputationRatio,rcIpReputationRatio,rcProxyRatio,rcSpoofedRatio,rcHostingProviderRatio,rcAutomatedTrafficRatio,rcIdentifiedCrawlerRatio,mobileAttributionRiskRatio,totalAttributionRisk,highAttributionRisk,domain,subsource,sourceId,campaignId
71,6185,1055,2017-04-07,2017-04-09,6,0,0,6,0,0,6,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1206,6185,1055
72,5468,1039,2017-03-14,2017-03-31,5,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,,,,,dir,5468,1039
73,5393,967,2017-03-28,2017-04-06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,60488,5393,967
74,6180,1068,2017-03-15,2017-03-15,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,google.com.pk,,6180,1068
75,6147,966,2017-03-15,2017-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,60488,6147,966
76,5468,256,2017-03-12,2017-04-10,184,2,1,187,0,0,187,184,187,0,0,0,1,0,0,2,0,0.983957,0.00534759,0.0106952,3,0.0160428,0,0,0,0,0,1,0.983957,3,0.0160428,1,0,0,0,0,0.00534759,0,0,0.0106952,0,0,0.0106952,0.00534759,0,0.00534759,0.0106952,0,,,,findlaw.com,dir,5468,256
77,5468,966,2017-03-13,2017-04-10,7,0,0,7,0,0,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,findlaw.com,bl,5468,966
78,6136,256,2017-04-07,2017-04-08,4,0,0,4,0,0,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,680084,6136,256
79,5468,1067,2017-03-13,2017-04-10,36,1,1,38,0,0,38,36,38,0,0,0,1,0,0,1,0,0.947368,0.0263158,0.0263158,2,0.0526316,0,0,0,0,0,1,0.947368,2,0.0526316,1,0,0,0,0,0.0263158,0,0,0.0263158,0,0,0.0526316,0,0,0,0,0,,,,findlaw.com,latl,5468,1067
80,6180,1068,2017-03-16,2017-04-04,5,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,doubleclick.net,,6180,1068
81,6006,256,2017-03-15,2017-04-10,42,1,1,44,0,0,44,42,44,0,0,0,1,0,0,1,0,0.954545,0.0227273,0.0227273,2,0.0454545,0,0,0,0,0,1,0.954545,2,0.0454545,1,0,0,0,0,0.0227273,0,0,0.0227273,0,0,0.0454545,0,0,0,0,0,,,,lawinfo.com,dir,6006,256
82,5468,966,2017-04-07,2017-04-10,2,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,latl,5468,966
83,5468,871,2017-03-12,2017-04-10,488,4,6,498,0,0,498,488,498,0,0,0,6,0,0,4,0,0.97992,0.0120482,0.00803213,10,0.0200803,0,0,0,0,0,1,0.97992,10,0.0200803,1,0,0,0,0,0.0120482,0,0,0.00803213,0,0,0.0180723,0,0,0.00401606,0.0060241,0,,,,findlaw.com,dir,5468,871
84,5468,256,2017-03-13,2017-04-07,15,0,0,15,0,0,15,15,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,dir,5468,256
85,5468,966,2017-03-12,2017-04-10,61,1,0,62,0,0,62,61,62,0,0,0,0,0,0,1,0,0.983871,0,0.016129,1,0.016129,0,0,0,0,0,1,0.983871,1,0.016129,1,0,0,0,0,0,0,0,0.016129,0,0,0.016129,0,0,0,0,0,,,,findlaw.com,dir,5468,966
86,5308,455,2017-03-30,2017-03-30,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,consumerinjurylaw.com,hpredirect,5308,455
87,5420,1055,2017-04-04,2017-04-04,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,matchality.com,331383,5420,1055
